name,taxid,ERR14789334,ERR14789335,ERR14789336,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348
                  Kingevirus,2948785,0.58,0.41,1.32,0.02,1.39,3.33,1.26,0.56,0.4,1.28,1.25,0.37,,0.06,0.59
                  Kolpuevirus,2948787,0.11,,,,,,,,,0.2,,,,,0.14
              Kunmingvirus,2948791,0.11,,,0.01,,,0.88,,,0.31,0.43,,,0.06,
                  Lebriduvirus,2948797,,,,,,,,,,,,,,,0.12
                  Mahlunavirus,2948812,,,,,,,,,,,,,,,0.09
              Myrnavirus,2948833,0.77,,,,,,,,,,,0.39,,,
                  Pleakleyvirus,2948869,,,,0.01,,,,,,,,,,,
              Saltrevirus,2948889,,,,0.03,,,,,,,,,,,
                  Skysandvirus,2948912,,,,0.02,,,,,,,,,,,
                  Sukkupivirus,2948917,,,,0.02,,,,,,,,,,,
                Triduovirus,2948933,,,,,0.51,,,,,0.33,,,,,0.13
                  Acanvirus,3044653,,,,,0.44,,,,,,,,,,
                  Citricivirus,3044688,,,,,,,,,,,0.6,,,0.04,
              Cobrasixvirus,3044690,0.17,,0.83,,,,,,,,,,,,0.17
              Haetaevirus,3044726,,,,,0.76,,,,,,,,,,
              Mcgonagallvirus,3044757,,,,0.01,,,0.26,,,,,,,,
              Midgardsormrvirus,3044764,,,,,,,,,,,,,,,0.7
                Miltoncavirus,3044765,,,,0.02,,,,,,,,,,,
                Moazamivirus,3044766,,,,,,,0.26,,,,,,,,0.14
              Pavtokvirus,3044786,0.19,,,,,,,,,,,,,,
                Pawinskivirus,3044787,,,,0.05,,,,,,,,,,,
                Phabiovirus,3044790,,,,0.09,,,,,,,,,,,
              Purivirus,3044798,6.19,0.97,0.93,,0.44,,0.9,2.38,11.94,0.48,0.33,1.53,,0.1,0.37
              Quivirus,3044799,,,,,,,,0.28,1.67,,,,,,
                Serwervirus,3044821,,,,0.02,,,,,,,,,,,
              Syrbvirus,3044838,0.81,0.52,,,,,,1.27,,,0.43,,,,
                Tepukevirus,3044840,,,,0.56,,,,,,,,,,0.08,
                  Theiavirus,3044842,0.09,,,,,,,,,,,,,,
                Xoxocotlavirus,3044858,,,,,,,,,,,0.4,,,,
              Medeavirus,3152510,0.17,,,,,,0.24,,0.47,,,0.33,,,
                  Cinvestavvirus,3152598,,,,,,,,,,,,,,,0.12
              Bugaksanvirus,3152615,0.44,,,,,,,,,,,,,,
              Lilspottyvirus,3152623,0.47,,,,,,,,,,,,,,
              Pumpernickelvirus,3152625,0.12,,,,,,,0.8,,0.19,,,,,
              Readingvirus,3152626,6.95,0.71,0.35,,0.54,,1.24,1.05,0.68,0.29,0.3,1.68,,0.16,0.29
                Ulinhavirus,3152864,0.1,0.49,,,,,,,,,,,,,
                  Dilongvirus,3152896,,,,0.04,,,,,,,,,1.31,,
                  Kremarvirus,3152897,0.58,,,,,,,,,,,,13.14,,
                  Shenlongvirus,3152898,0.14,,,0.02,,,,,,,,,3.57,,
              Eidolonvirus,3152915,0.63,,,,,,,,,,0.28,0.25,,,
              Kharnvirus,3152916,,,,,1.29,,,,,,,,,,
              Footloosevirus,3152965,,,,,,,,0.28,,,,,,,
              Miecznikowavirus,3152971,5.01,1.46,7.81,0.01,1.19,,1.76,1.83,5.01,1.05,0.9,3.08,,0.98,5.73
                Acamarivirus,3152979,,,,,,,,,,,,1.01,,,
                Anthevirus,3152981,,,,,,,,2.07,1.18,,,5.49,,,
              Chewyvirus,3152994,,,,,,,,5.29,,0.43,0.5,,,,
                Seretavirus,3152998,,0.49,,,,,,,,,,,,,
                  Longwangvirus,3153014,0.28,,0.45,0.03,,1.41,0.5,,,0.76,0.95,,0.02,,0.09
              Torvergatavirus,3153079,,,,,1.26,,,,,,,,,,0.11
              Shockervirus,3153082,0.16,,,,,,,,0.31,,,,,,
                  Ebriosvirus,3424957,,,,,,,,,,,,,0.05,0.05,
                  Hennigervirus,3424959,,,,,,,,,,,,,52.81,0.9,
                  Pfluvirus,3424962,,,,0.12,,,,,,,,,1.06,0.73,
                  Unosvirus,3424968,,,,,,,,,,,,,0.03,0.37,
