name,taxid,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
                Phabiovirus,3044790,0.17,,,,,,,,,,,,,,
              Purivirus,3044798,,,,0.35,,0.3,0.24,0.42,,1.27,,0.65,,,
              Quivirus,3044799,,0.2,,0.62,,,,,,,,0.46,,0.5,
              Syrbvirus,3044838,0.16,0.62,,,,,0.28,,,1.55,,,,,
              Medeavirus,3152510,,,,,,,,,,,,1.24,,,
              Hulijingvirus,3152622,,,,,,,,,,,,1.01,,,
              Readingvirus,3152626,,,,,,,0.59,1.07,,1.26,,0.91,,,
                Ninurtavirus,3152926,,,,,,,,,,,,,,2.63,
              Hafyongvirus,3152967,,,,,,,,,,,,0.36,,,
              Miecznikowavirus,3152971,,,,,,0.28,0.83,1.06,,4.45,0.52,2.48,,,
                Otakuvirus,3152972,,,,,,,,,,,,0.39,,,
              Shockervirus,3153082,,,,,,,,,,,,0.33,,,
