name,taxid,ERR14789028,ERR14789029,ERR14789030,ERR14789031,ERR14789032,ERR14789033,ERR14789038,ERR14789039,ERR14789040,ERR14789041,ERR14789042,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
                Salvovirus,2943016,0.1,,,,,0.04,,0.26,,0.11,,0.47,0.38,0.21,0.52,0.27,,0.88,0.28,0.42,0.43
                Sharonstreetvirus,2943019,0.27,,,0.03,0.03,0.06,,0.47,,0.13,,0.66,0.64,0.6,1.35,0.93,,1.69,0.65,0.94,0.58
                  Aurodevirus,2946811,0.04,,0.04,,,0.05,,,,0.07,,0.89,0.98,1.32,0.77,1.1,0.32,2.6,1.79,1.89,1.14
                  Birpovirus,2946830,,,,,,,,,,,,,,0.25,,0.25,,,,,
                  Buorbuivirus,2948644,,,,,,,,,,,,0.17,,0.23,,,,0.36,,,
                  Burzaovirus,2948645,0.21,0.06,0.18,0.13,0.17,0.26,0.01,0.89,,0.19,0.11,5.87,5.04,7.54,12.07,14.77,1.03,17.39,7.54,6.27,11.49
                  Carjivirus,2948652,0.09,,0.08,,0.07,0.13,,0.46,,0.08,0.06,1.25,0.74,0.92,1.31,0.97,,3.22,1.33,1.66,1.77
                  Chirohepevirus,2948661,0.15,,,,,,0.01,,,,,,,,,,,,,,
                  Chuhaivirus,2948663,,,,,,,,,,,,0.19,,,,,,,,,
                  Dabirmavirus,2948671,,,,,,,,,,,,0.17,,,,,,,,,
              Deseoctovirus,2948678,,,0.04,,,,,,0.02,,,,,,,,,,,,
                  Drivevirus,2948684,,,,,,,,,,,,0.17,,,,0.25,,,0.3,,
                  Delmidovirus,2948688,,,,,,,,,,,,0.25,,0.37,,0.27,,0.72,,0.3,0.29
                Efbeekayvirus,2948690,,,,,,,,,,,,0.22,0.22,0.19,,,,,,0.3,
                  Endlipuvirus,2948697,,,,,,,,,,,,,,,,,,0.42,0.23,,
                Exceevirus,2948704,,,,,,,,,,,,,,,,0.66,,,,,
                  Fohxhuevirus,2948709,,,,,,,,,,,,0.88,0.5,0.52,1.07,1.26,,1.4,0.98,0.97,0.84
                  Jahgtovirus,2948767,,,,,,,,,,,,0.37,0.44,0.45,0.47,0.56,0.21,0.75,0.67,0.44,0.45
                  Junduvirus,2948774,,,,,,,,,,,,3.07,4.05,3.91,,,,,,,
                  Kingevirus,2948785,,,,,,0.04,,,,,,0.68,1.0,0.9,1.11,0.68,,1.01,0.75,1.28,1.01
                  Kolpuevirus,2948787,,,,,,,,,,,,0.34,,,,0.42,,0.6,0.29,,0.4
              Kunmingvirus,2948791,,,,,,,,0.13,,,,,,,,,,,,,
                  Mahlunavirus,2948812,,,,,,,,,,,,,,,,0.19,,,0.17,,
                  Pamirivirus,2948854,,,,,,,,,,,,,,,,0.2,,,,,
              Pharaohvirus,2948861,,,,,,,0.02,,,,,,,,,,0.3,,,,
                  Rocahepevirus,2948883,3.38,2.83,3.41,2.49,6.6,2.5,0.75,1.35,2.29,2.63,3.58,,,,,,,,,,
              Skatevirus,2948910,0.24,,0.11,,,0.21,,1.01,0.03,,0.15,,,,,,,,,,
              Turbidovirus,2948936,,,,,,,,,,0.45,,,,,0.39,,,,,0.91,
                Valinorvirus,2948943,,,,,,,,,,,,,,,,,0.21,,,,
                  Xooduovirus,2948956,,,,,,,,,,,,,,,,,,0.85,,,
              Axeltriavirus,3044667,,,,,,,,,,,,,,,,,,,0.18,,
              Cobrasixvirus,3044690,0.06,,,,,0.06,,0.7,,0.13,,0.18,0.35,,,,,2.65,0.5,,
              Midgardsormrvirus,3044764,,,,,,,,,,,,,,,,,,0.33,,,
                Phabiovirus,3044790,,,,,,,,,,,,0.17,,,,,,,,,
              Purivirus,3044798,,,,,,0.06,,0.31,,,,,,,0.35,,,0.65,,,
              Quivirus,3044799,,,,,,,,,,0.07,,,0.2,,0.62,,,0.46,,0.5,
                Shenzhenivirus,3044824,0.04,,,,,,,,,,,,,,,,,,,,
              Syrbvirus,3044838,0.06,,,,,,,,,,,0.16,0.62,,,,,,,,
              Medeavirus,3152510,,,,,,,,0.47,,,,,,,,,,1.24,,,
              Hulijingvirus,3152622,,,,,,,,,,,,,,,,,,1.01,,,
              Readingvirus,3152626,,,,,,,,0.87,,,,,,,,,,0.91,,,
                Ninurtavirus,3152926,,,,,,,,,,0.15,,,,,,,,,,2.63,
              Footloosevirus,3152965,0.05,,,,,,,,,,,,,,,,,,,,
              Hafyongvirus,3152967,,,,,,,,,,,,,,,,,,0.36,,,
              Miecznikowavirus,3152971,,,,,,0.07,0.01,1.36,,,,,,,,,0.52,2.48,,,
                Otakuvirus,3152972,,,,,,,,,,,,,,,,,,0.39,,,
              Shockervirus,3153082,0.05,,,,,0.04,,0.18,,0.1,,,,,,,,0.33,,,
