name,taxid,ERR14789363,ERR14789354,ERR14789359,ERR14789366,ERR14789356,ERR14789361,ERR14789364,ERR14789353,ERR14789350,ERR14789367,ERR14789362,ERR14789355,ERR14789358,ERR14789365,ERR14789357,ERR14789360,ERR14789266,ERR14789263,ERR14789272,ERR14789259,ERR14789269,ERR14789264,ERR14789261,ERR14789270,ERR14789262,ERR14789273,ERR14789267,ERR14789260,ERR14789271,ERR14789268,ERR14789265,ERR14789310,ERR14789309,ERR14789315,ERR14789318,ERR14789312,ERR14789320,ERR14789317,ERR14789308,ERR14789314,ERR14789319,ERR14789311,ERR14789321,ERR14789316,ERR14789307,ERR14789313,ERR14789380,ERR14789372,ERR14789377,ERR14789382,ERR14789370,ERR14789375,ERR14789369,ERR14789378,ERR14789376,ERR14789381,ERR14789373,ERR14789374,ERR14789368,ERR14789379,ERR14789371,ERR14789288,ERR14789294,ERR14789285,ERR14789291,ERR14789296,ERR14789287,ERR14789282,ERR14789293,ERR14789290,ERR14789289,ERR14789295,ERR14789284,ERR14789283,ERR14789292,ERR14789297,ERR14789286,ERR14789183,ERR14789186,ERR14789179,ERR14789190,ERR14789176,ERR14789189,ERR14789184,ERR14789175,ERR14789178,ERR14789187,ERR14789182,ERR14789188,ERR14789177,ERR14789185,ERR14789336,ERR14789348,ERR14789345,ERR14789340,ERR14789334,ERR14789347,ERR14789339,ERR14789342,ERR14789341,ERR14789337,ERR14789344,ERR14789343,ERR14789335,ERR14789346,ERR14789338,ERR14789327,ERR14789322,ERR14789333,ERR14789328,ERR14789325,ERR14789331,ERR14789323,ERR14789332,ERR14789326,ERR14789330,ERR14789329,ERR14789324
              Gordonvirus,1982152,,,,,,,,,,,,,,,,,,,,0.09,,,0.09,,,,,0.11,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.15,,,0.12,,,,,0.13,0.12,,,,,0.08,,,,,,,,,,,,0.1,,,0.12,,,6.65,0.26,,,,,,,,0.79,,,,,,0.09,0.04,,,
              Gordtnkvirus,1982218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Nipunavirus,1982239,,0.05,0.08,0.1,,,,,,0.4,0.16,,,0.19,0.18,,0.22,,0.22,0.33,,0.2,0.14,,0.27,0.18,0.31,0.17,,0.16,0.28,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,0.2,0.05,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,0.78,,,,,,,,,,,,
              Pahexavirus,1982251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Pamexvirus,1982355,,,,,,,,,,,,0.21,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Pepyhexavirus,1982367,,,,,,,,0.03,,,,,,,,,,,0.13,0.21,,0.17,0.14,,0.12,,,0.14,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,0.39,,,,,0.13,,0.17,,,0.14,,0.08,0.09,,0.17,0.11,,,,,0.1,,,,,,0.23,,,,,0.45,0.82,,,1.57,0.04,,0.53,2.7,,1.78,,1.98,,,,,0.31,,0.04,0.1,,0.1,0.05,,,
              Roufvirus,1982370,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.11,,,0.2,0.15,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.02,0.12,,0.11,,,,,,0.11,,0.19,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Titanvirus,1982573,,,,,,,,,,0.11,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
                  Johnsonvirus,1982576,,,,,,,,0.03,,,,,,,,,,,,0.11,,0.15,0.1,,,,,0.1,,,,,,,,,0.42,,,,,0.25,,,,0.11,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.12,,,,,,,0.1,,,,,,,,,0.02,,,,,,,,,,,,,
              Kochitakasuvirus,1982590,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Luzseptimavirus,1982594,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,
              Likavirus,1982880,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Coopervirus,1982898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,0.04,,0.1,,0.08,,,
              Rosebushvirus,1982900,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Fishburnevirus,1983734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Kolesnikvirus,1985293,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Mooglevirus,1985303,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.1,,,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Jiaodavirus,1985325,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.05,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Slopekvirus,1985328,,,,,,,,,,,,,,,,,,,,,,0.62,0.12,,0.21,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.08,,2.86,,,,,0.07,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
                  Moonvirus,1985329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemyduguivirus,1985365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemygorvirus,1985366,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.11,,,,,,,,0.42,,,,,,,,,,,,,,0.46,,,0.44,1.24,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.18,,,,,,0.89,0.21,,,,,0.32,,,,,,0.47,,,,,,,,,,,,,,,,,,
                Gemykrogvirus,1985367,,0.42,,,,,,0.09,,,,,0.25,,,0.08,,,,,,,0.3,,0.69,,,0.08,,,,,,,,,,,,,,,1.23,,,,0.3,1.91,,,0.47,,3.98,0.63,0.89,0.55,0.23,0.31,0.27,,0.69,,0.17,,,,,2.68,0.16,,0.19,0.19,,0.16,0.02,0.08,0.51,0.05,0.06,,,0.72,,0.16,,0.6,,,0.11,,0.13,,,0.34,,,,,,0.42,,,0.29,,,,,,,,,0.21,,0.06,0.08,,,
                  Friunavirus,1985711,0.08,,,,,,,,,,0.24,,0.06,,,,0.23,,,0.18,1.54,0.22,0.37,1.5,0.27,0.57,0.23,0.18,5.06,0.34,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.77,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,2.12,0.04,,,0.26,,,0.58,
                  Przondovirus,1985720,,,,,,,,0.04,,,,,,0.28,,,0.48,,0.35,0.7,0.14,0.82,0.34,,0.38,0.42,0.52,0.33,0.53,0.13,0.38,,,1.06,0.25,,,0.2,,0.6,0.22,0.23,,,,0.16,,,,,,,,,,,,,,,,23.76,0.2,0.52,0.17,0.1,7.64,,0.79,0.8,0.33,0.27,0.18,2.0,10.39,0.4,0.7,0.04,0.16,0.51,0.19,0.34,0.45,0.38,,0.95,0.41,,0.43,1.19,0.24,,,,,,0.39,,,,,,,,0.04,,,,,,,,,0.11,,,,
                  Pradovirus,1985733,0.9,,0.07,0.22,,,,0.06,,,0.25,,,0.17,,0.06,,,,0.11,,,0.13,,,0.18,0.48,0.2,0.22,,0.22,,,,,0.21,,,,,,0.12,,,,0.11,0.35,0.27,1.27,0.55,,,0.44,0.21,1.25,1.11,0.67,0.45,0.32,0.55,0.97,,,,0.23,0.06,,,,0.16,0.12,0.11,,0.17,0.14,0.09,0.16,0.06,0.18,0.82,0.12,0.25,0.16,0.37,,1.26,0.22,,0.24,0.81,0.21,,,,0.24,,,,,,0.16,,,,,,,,,,0.04,,0.07,,0.03,,,
                Wildcatvirus,1993858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,
          Pandoravirus,2060084,0.7,0.09,0.27,,,,,0.06,,1.26,0.26,,0.2,0.69,,,,,0.7,0.69,,,0.54,0.58,0.46,,,0.63,,,0.85,,,,,,,,,0.44,0.21,0.16,,,,,,,,,,,0.64,2.19,,,,,,,,,,,,0.15,,,,,,,,,0.13,,,,0.13,,0.39,,0.47,,,,0.56,,,,,,0.27,1.21,1.38,,,,,,,,,,0.03,,,0.53,,0.46,,0.35,,0.25,0.09,1.56,,
                  Tupanvirus,2094720,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.08,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.19,0.21,,,,,0.06,0.25,,0.14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Agtrevirus,2169532,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.13,0.19,,,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Kuttervirus,2169536,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
              Limdunavirus,2169621,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.06,,,,,0.13,0.07,0.08,,0.03,,,0.02,0.06,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.15,0.2,0.19,0.09,0.19,0.09,0.34,,
              Unaquatrovirus,2169622,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.07,,,,
                Machinavirus,2169624,,0.06,0.11,,,,,,,,,,,,,,,,0.13,0.28,,,0.09,,0.08,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Svunavirus,2169625,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Jwalphavirus,2169642,,0.05,,,0.35,1.1,,,,,,0.2,,0.2,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Ithacavirus,2169643,,,,,,,,0.06,,,,,,,,0.06,,,0.16,0.17,,0.3,0.31,,0.22,0.29,,0.42,0.2,1.11,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,0.06,,,0.02,0.38,,,,,0.09,,0.22,,,,0.18,,0.14,,,,,,,,,,,,,,0.41,,,,,,,,0.05,,,0.06,,,,
                Sopolycivirus,2169646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.29,,,,,
              Doucettevirus,2169653,,,,,,,,,,,,,,,,,,,,0.11,,,0.11,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Wizardvirus,2169658,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Huchismacovirus,2169662,,0.06,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Porprismacovirus,2169663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,0.21,,,,,,,,0.19,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Husavirus,2219049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,0.19,,0.1,0.75,0.95,,0.41,1.01,0.76,0.44,0.53,0.53,0.42,0.56,0.61,0.47,0.91,1.0,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
                    Mobatvirus,2501367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,
                    Pregotovirus,2508244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Ahduovirus,2560084,,,0.11,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Alcyoneusvirus,2560086,,0.07,,,,,,,,,0.2,,0.05,,,,,,,0.11,,,,,0.5,0.18,,0.1,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Asteriusvirus,2560094,,,,,,,,,,,,,,,,,,,0.31,0.17,0.79,0.17,0.37,0.58,0.35,0.37,,0.08,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Bantamvirus,2560096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Bifseptvirus,2560102,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Bingvirus,2560103,,,,,,,,,,,,,,,,,,,,0.07,,,,,0.08,,,0.06,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,0.02,,,,,,,,,0.05,,,,
              Bjornvirus,2560104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
              Brunovirus,2560108,,,,,,,,,,,,,,,,,,,,0.11,,0.35,0.15,,0.09,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,0.05,,,,,,,,,,0.18,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Ceetrepovirus,2560111,,,,,,,,,6.45,,,,,,,,1.53,2.32,0.35,5.71,2.08,,0.68,3.28,1.21,0.68,7.53,1.98,0.47,5.96,0.6,,,,,,,,,,,0.12,,,,,,2.16,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,0.03,0.05,,,0.15,,0.13,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Chakrabartyvirus,2560113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
                  Coguvirus,2560118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,0.34,,,,,,,,,,
              Dismasvirus,2560122,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,0.28,,,0.17,0.36,0.41,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.18,,2.04,0.13,,,1.33,1.06,,,0.19,16.92,,,,,,,,,,,,,,
              Efquatrovirus,2560124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Elerivirus,2560126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Eneladusvirus,2560128,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,
              Farahnazvirus,2560130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.19,2.4,0.72,0.45,2.01,4.6,2.19,,0.28,,0.97,0.25,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.09,,,0.87,0.85,,,,,,,,,,,,,,,,,,
              Fipvunavirus,2560132,0.12,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,0.08,,,,,,,,,,,,,,0.08,,,,,,0.39,,1.48,0.19,,,,0.76,1.33,0.67,0.5,0.28,0.98,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,0.09,,,,,,,0.17,,,,,,,,0.09,,,,0.04,,,
                  Flaumdravirus,2560133,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.5,,,,,,,,,,,,,
              Gofduovirus,2560141,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Gustavvirus,2560144,,,,,,,,0.03,,,,0.21,,0.21,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,0.13,,,,,,,,,,,0.75,,,,,,,,,,0.64,,,,,,,,,,
                Iapetusvirus,2560148,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Ilzatvirus,2560150,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Kojivirus,2560161,,,,,,,,,,,,,,,,,,,,0.2,,,0.08,,0.08,,,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Krylovvirus,2560162,,,,,,,,,,,,,,,,,,,,,0.19,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,
                Locarnavirus,2560169,,,,,,,,0.03,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,3.58,,,,,,0.39,,,,,,,,,,,,,,0.4,,,,,,,,0.04,,,0.07,0.03,0.2,0.37,
              Metrivirus,2560175,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Mimasvirus,2560176,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.11,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Napahaivirus,2560184,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,
              Nickievirus,2560188,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Noxifervirus,2560190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,0.19,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Otagovirus,2560197,,,,,0.53,1.48,,0.04,,,,,,,,,,,0.12,,0.28,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.29,,,,,,,,,3.96,,,,,,,,,,,,,
              Peatvirus,2560201,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,
                  Phimunavirus,2560202,0.19,0.15,,,,0.75,0.23,0.06,,0.23,0.87,0.39,0.06,0.41,,0.09,,,0.13,0.13,0.87,0.22,0.27,0.28,0.22,,,0.16,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.11,0.15,,,0.04,,,,,,0.07,,0.47,,,,0.14,,,,,0.66,,,0.36,0.26,,0.78,,,0.46,0.28,0.37,,,,,,,,0.06,,,,,,,
              Pikminvirus,2560203,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Plaisancevirus,2560204,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.66,,,,,,,,,,,,,,,,,,,,,1.41,
                Pollyceevirus,2560206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,
              Polybotosvirus,2560207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.15,,,,
