name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273
              Tinytimothyvirus,2843096,0.23,,0.14,0.1,,,0.22,,,,,,,0.15,
                Waedenswilvirus,2843122,0.16,0.15,0.2,0.14,,0.17,,,,0.14,,,,0.16,
                Wahdswovirus,2843124,,0.07,,,,,,,,,,,,,
              Yautsimvirus,2843147,,0.19,,,,,,,,,,,,,
                  Yonginvirus,2843155,0.09,0.08,0.13,0.08,,0.19,0.34,,,,,,0.16,,
                Zicotriavirus,2843161,0.08,0.13,0.08,0.13,,,,,,,,,,,
                Zurivirus,2843162,0.07,,0.1,0.09,,,,,,,0.32,0.26,0.22,,
              Aguilavirus,2843343,,0.21,,,,,,,,,,,,,
              Astrithrvirus,2843350,0.52,0.67,0.66,0.82,,1.81,1.41,0.52,0.31,0.4,0.25,0.54,0.37,0.43,0.48
              Audreyjarvisvirus,2843351,4.99,0.7,4.17,4.5,5.59,4.1,1.94,1.75,1.82,0.76,0.65,0.6,0.39,2.63,1.83
                Bcepfunavirus,2843356,,,,,,,,,,,0.48,,,,
              Burrovirus,2843362,1.97,0.9,1.49,2.64,1.8,1.3,1.67,1.47,1.22,0.79,0.38,0.99,0.7,1.37,1.7
              Chopinvirus,2843365,0.2,0.07,0.12,0.09,,0.34,,,0.23,,,,,0.18,0.44
              Cimandefvirus,2843366,0.15,0.13,0.19,0.12,,,,,0.64,,,,,,
              Fremauxvirus,2843383,1.05,0.21,0.85,0.99,,2.08,0.52,0.27,0.58,,0.17,,0.11,0.97,1.32
              Hattifnattvirus,2843390,,0.15,,,,,,,,,,,,,
                Labanvirus,2843408,,0.07,0.14,,,,,,,,,,,,
              Lafunavirus,2843410,,,0.1,,,,,,,,,,,,
                Lahexavirus,2843411,,,,,,,,,,,0.57,,,,
              Lastavirus,2843414,0.24,0.23,0.33,0.5,,0.29,0.6,,0.21,0.18,,,,0.11,0.2
              Lillamyvirus,2843418,0.12,0.66,0.17,0.29,,0.34,0.39,,,,,,,,
              Moturavirus,2843423,,0.07,0.17,,,,,,,,,,,,
              Muminvirus,2843426,1.02,1.59,1.11,0.66,,1.56,1.87,,,6.1,,1.43,0.79,0.7,0.82
              Nevevirus,2843430,,0.08,,0.08,,0.15,,,,,,,,,
              Parlovirus,2843433,0.07,0.11,0.21,0.09,,,,,,,0.29,,,,
              Plateaulakevirus,2843436,0.18,1.19,1.08,0.6,,1.25,0.75,0.26,,0.37,0.14,,,0.16,0.42
              Predatorvirus,2843439,,,,,,,,0.24,0.46,,,,,,
                Privateervirus,2843440,,0.06,,,,,,,,2.72,,,,0.14,
              Sandinevirus,2843449,0.61,0.22,0.8,0.46,,1.66,0.38,,0.32,0.19,,,,0.87,0.63
              Shandongvirus,2843454,0.12,,,0.12,,,,,,,,,,,
              Teubervirus,2843466,0.72,0.31,0.76,0.38,1.16,0.51,0.26,1.08,1.35,0.26,0.29,0.54,0.5,0.33,0.29
              Vedamuthuvirus,2843470,0.11,,,0.08,,,,,,,,,,,
                Yonseivirus,2843478,0.69,0.69,0.9,0.52,,1.13,0.42,0.36,0.79,0.42,,0.26,0.17,0.46,0.62
                  Kahnovirus,2942979,0.47,0.35,0.41,0.45,,0.5,0.6,0.28,1.2,0.52,0.14,0.51,0.19,0.47,0.35
                  Kehishuvirus,2942980,0.31,0.57,0.49,0.53,,0.6,1.08,0.58,0.7,1.09,0.2,0.73,0.36,0.33,0.48
                  Paundivirus,2942981,0.08,,,0.08,,,,,,,,,,,
                  Afonbuvirus,2942989,0.91,0.9,0.97,1.14,,0.67,0.89,0.64,1.1,1.26,0.14,1.2,0.53,0.72,0.93
                  Canhaevirus,2942990,0.24,0.18,0.38,0.24,,0.24,0.52,0.26,0.33,0.32,,0.36,0.22,0.16,0.2
                  Cohcovirus,2942991,0.24,0.25,0.42,0.45,,0.18,0.69,0.23,0.54,0.39,,0.31,0.2,0.3,0.42
                  Culoivirus,2942992,0.11,0.12,0.14,0.1,,0.17,0.24,,0.23,0.26,,,,0.11,
                  Blohavirus,2942993,0.67,0.45,0.71,0.93,,0.5,0.61,0.35,0.6,0.78,0.27,1.37,0.41,0.69,0.71
