name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333
                  Buorbuivirus,2948644,,0.11,,0.13,0.12,,,,0.14,0.38,0.17,0.38
                  Burzaovirus,2948645,3.51,2.88,3.69,6.03,7.13,12.37,4.4,8.04,6.48,11.02,5.76,8.89
                  Cacepaovirus,2948646,,,,,,,,,0.54,0.19,0.07,
                  Carjivirus,2948652,0.97,1.15,0.99,1.42,1.98,3.92,1.88,2.55,2.84,3.9,2.23,3.73
                Chrysonvirus,2948662,,0.13,,,,,,,,,,
                  Chuhaivirus,2948663,,,,0.04,,,,,0.42,0.29,0.05,
                  Dabirmavirus,2948671,,0.08,,0.09,0.21,,,,0.17,0.29,0.19,0.32
                  Diorhovirus,2948680,0.18,0.15,0.33,0.19,0.19,0.55,0.2,,0.42,0.53,0.28,0.52
                  Drivevirus,2948684,,,,0.04,0.05,,,,,0.13,0.09,
                  Delmidovirus,2948688,,,,0.08,0.1,,,,0.16,0.2,0.12,0.23
                Efbeekayvirus,2948690,,0.11,,0.04,,,,,,,,
                  Endlipuvirus,2948697,,,,0.1,0.11,,,,0.2,0.16,0.11,0.17
                Exceevirus,2948704,,,,0.08,0.05,,0.29,0.34,0.54,0.13,0.16,
                  Fohxhuevirus,2948709,0.16,0.16,0.3,0.23,0.38,0.62,0.31,0.43,0.53,0.57,0.41,0.64
                Galenevirus,2948714,,,,,,,,,0.42,,,
              Harrisonburgvirus,2948755,0.61,,,,,,,,,,,
                  Jahgtovirus,2948767,0.6,0.6,0.45,0.88,1.06,1.96,0.95,1.17,1.36,2.11,1.14,1.64
                  Junduvirus,2948774,,,,12.66,0.13,,,,,0.13,0.1,0.17
                  Kahucivirus,2948778,,,,0.04,0.04,,,,,,,
                  Kingevirus,2948785,0.34,0.6,0.45,0.62,1.0,1.89,0.74,0.83,1.2,1.5,1.11,1.51
                  Kolpuevirus,2948787,,0.14,,0.2,0.11,,,,0.45,0.67,0.32,0.3
              Kunmingvirus,2948791,0.5,,,,0.04,,,,0.5,0.43,0.18,0.34
                  Lebriduvirus,2948797,,,,0.04,,,,,,0.13,,
                  Mahlunavirus,2948812,,0.09,,0.07,0.09,,,,,0.24,0.12,
              Omarvirus,2948847,0.78,,,,,,,,,,,
                  Pamirivirus,2948854,,,,0.08,0.11,,,,,0.29,0.23,
                Pariacacavirus,2948856,,,,,,,,,0.33,,,
                  Citricivirus,3044688,0.31,,,0.11,,,,,,,,
              Hiroshimavirus,3044731,1.29,,,,,,,,,,,
                Kratosvirus,3044747,,,,0.07,,,,,,,,
              Mohonavirus,3044767,,,,,,,,,0.4,,,
                Phabiovirus,3044790,,0.41,,,,,,,,,,
              Purivirus,3044798,3.05,2.54,33.82,,,,0.36,1.13,,,,
              Richievirus,3044803,,,,,0.05,,,,,,,
              Siaravirus,3044826,0.19,,,,,,,,,,,
              Siftrevirus,3044829,,0.43,,,,,,,,,,
                Varunavirus,3044852,,,,,,,,,,,0.05,
                Xoxocotlavirus,3044858,,0.07,,,,,,,,,,
                  Moumouvirus,3080801,,,,,,,,,0.19,,,
              Medeavirus,3152510,,0.15,1.13,,,,,0.65,,,,
                  Cinvestavvirus,3152598,,,,,,,,,,,0.05,
              Readingvirus,3152626,0.19,0.26,1.7,,,,0.29,0.75,,,,
                  Shenlongvirus,3152898,,0.26,0.57,,,,,,,,,
              Miecznikowavirus,3152971,0.63,0.99,4.09,,,,0.26,1.41,,,,
                  Longwangvirus,3153014,,0.09,,0.08,0.1,,,,0.36,0.95,0.37,0.41
              Shockervirus,3153082,,0.08,,,0.03,,,,,,0.06,0.21
                  Baldwinvirus,3153089,,,,,,,3.67,,,,,
                Hodnevirus,3153200,,,,,,,,,0.13,0.14,0.1,
                  Risoevirus,3424972,,,,,,,,0.64,,,,
                  Margaeryvirus,3425048,,,,,,,,,,0.1,0.09,
                Nicoomyvirus,3425078,,0.18,,0.06,,,0.17,9.63,5.9,,,
